date,topic0,topic1,topic2,topic3,topic4,topic5
2014/12/2,2518,396,138,3,18677,0
2014/12/3,2621,456,14,0,24371,0
2014/12/4,3755,570,93,0,34843,13
2014/12/5,3341,536,95,1,33455,6
2014/12/8,2735,477,23,0,26622,3
2014/12/9,2942,601,8,0,39292,67
2014/12/10,2980,476,6,0,29205,58
2014/12/11,2822,429,67,1,24640,31
2014/12/12,2611,396,66,1,20208,12
2014/12/15,2634,349,70,2,21066,11
2014/12/16,2712,357,78,0,23436,9
2014/12/17,2660,359,65,0,24207,33
2014/12/18,2171,235,74,1,19528,14
2014/12/19,2288,265,63,0,18237,6
2014/12/22,2558,359,24,52,30386,14
2014/12/23,2533,400,12,172,26539,20
2014/12/24,2590,366,12,59,25664,16
2014/12/25,2860,345,3,24,24146,3
2014/12/26,3597,470,68,9,27563,13
2014/12/29,3018,314,4,12,24655,11
2014/12/30,3109,358,4,1,19396,17
2014/12/31,2303,361,5,0,18227,21
2015/1/5,2729,327,67,31,22054,3
2015/1/6,3512,309,62,26,21220,5
2015/1/7,2655,334,67,17,21082,8
2015/1/8,3373,331,93,7,19827,12
2015/1/9,3551,311,134,6,20806,18
2015/1/12,3290,289,197,1,17721,11
2015/1/13,3296,313,57,1,16131,22
2015/1/14,2907,348,132,6,16877,9
2015/1/15,2684,295,62,4,16312,9
2015/1/16,3947,309,63,4,16387,2
2015/1/19,4007,404,68,1,34916,15
2015/1/20,3628,373,107,2,24690,26
2015/1/21,3379,368,12,190,18669,10
2015/1/22,3145,326,10,256,15562,5
2015/1/23,3349,345,11,153,16156,5
2015/1/26,2960,337,0,66,15243,12
2015/1/27,3451,371,3,7,16242,17
2015/1/28,3685,395,5,0,17186,18
2015/1/29,4000,399,5,13,17433,9
2015/1/30,4225,555,3,18,18729,4
2015/2/2,3884,364,7,3,18883,123
2015/2/3,3742,348,5,4,17293,127
2015/2/4,3745,313,3,5,20759,123
2015/2/5,3334,351,3,9,21197,102
2015/2/6,3043,412,65,18,17827,22
2015/2/9,4015,468,65,7,18148,4
2015/2/10,4104,435,112,52,16529,1
2015/2/11,3389,412,82,136,14112,1
2015/2/12,3682,370,165,126,13301,1
2015/2/13,5646,449,67,131,14083,0
2015/2/16,4999,421,2,150,11934,0
2015/2/17,3493,377,3,157,11892,0
2015/2/25,3777,377,4,126,13139,11
2015/2/26,4111,315,115,122,14892,25
2015/2/27,3833,392,110,31,15254,12
2015/3/2,4299,449,195,11,19323,9
2015/3/3,4572,525,253,70,18500,14
2015/3/4,4103,451,1469,134,17268,49
2015/3/5,4207,400,1280,134,16944,63
2015/3/6,4436,285,1353,1003,17171,24
2015/3/9,3974,348,1145,165,17543,73
2015/3/10,3830,370,2237,265,17667,62
2015/3/11,3941,415,2187,166,17808,78
2015/3/12,3950,432,1630,95,17485,119
2015/3/13,3782,394,2630,84,16571,117
2015/3/16,3632,388,3213,70,18107,115
2015/3/17,3996,361,4097,42,20035,107
2015/3/18,4191,472,3167,27,22390,90
2015/3/19,4054,460,3316,26,21573,55
2015/3/20,4382,540,2183,20,23479,39
2015/3/23,3151,529,1884,37,22884,13
2015/3/24,5495,462,3277,16,24550,25
2015/3/25,3821,556,3342,13,24351,9
2015/3/26,3055,542,1984,8,24997,13
2015/3/27,3113,407,3718,18,21605,6
2015/3/30,3545,457,3973,38,26777,22
2015/3/31,3533,547,4227,11,25409,38
2015/4/1,3043,454,4797,18,23100,25
2015/4/2,3215,520,4581,22,24076,89
2015/4/3,3930,494,2656,8,22095,22
2015/4/7,3092,565,79,4,26506,25
2015/4/8,2734,510,18,14,27569,32
2015/4/9,2696,474,40,4,26949,41
2015/4/10,2369,361,7,10,19133,15
2015/4/13,3407,706,16,12,27945,25
2015/4/14,2688,634,25,3,29244,28
2015/4/15,2799,563,91,7,26786,19
2015/4/16,2546,649,6,3,24790,26
2015/4/17,3553,587,10,11,27312,11
2015/4/20,3996,797,75,0,33161,31
2015/4/21,3307,675,182,4,30254,39
2015/4/22,3390,783,266,3,33793,40
2015/4/23,3588,808,825,0,33823,32
2015/4/24,3314,673,1140,3,29891,33
2015/4/27,3062,805,1730,8,31711,48
2015/4/28,3410,1051,1167,4,31478,49
2015/4/29,3140,792,1229,509,29953,49
2015/4/30,3048,617,888,1277,29610,37
2015/5/4,2805,494,872,966,29544,61
2015/5/5,2924,541,441,162,37754,43
2015/5/6,3038,818,649,197,38868,106
2015/5/7,2648,1310,982,245,41222,158
2015/5/8,2677,1067,522,233,37457,160
2015/5/11,3082,650,539,373,30279,45
2015/5/12,3280,826,527,9264,75318,52
2015/5/13,3321,764,392,7837,52826,48
2015/5/14,3064,782,387,1904,33914,40
2015/5/15,2973,601,245,176,28130,26
2015/5/18,2641,402,361,62,25092,26
2015/5/19,2796,476,430,41,29690,12
2015/5/20,2888,782,598,53,27620,25
2015/5/21,3101,691,343,46,29735,32
2015/5/22,3236,802,259,25,27314,26
2015/5/25,2777,645,503,45,28529,17
2015/5/26,3188,634,900,37,31340,21
2015/5/27,3398,670,1049,30,33273,24
2015/5/28,3700,1458,1076,32,57022,76
2015/5/29,3164,2000,454,23,47803,67
2015/6/1,2573,629,132,13,28518,11
2015/6/2,3023,586,192,17,29109,11
2015/6/3,3005,646,247,11,26120,7
2015/6/4,2817,744,312,10,34080,10
2015/6/5,3098,745,227,25,29955,7
2015/6/8,3107,690,503,7,27795,32
2015/6/9,3172,630,599,15,26061,32
2015/6/10,2961,631,1000,20,28243,21
2015/6/11,2676,551,644,14,26110,20
2015/6/12,2884,607,809,8,26477,15
2015/6/15,3136,621,495,8,26832,8
2015/6/16,3390,626,519,34,36616,19
2015/6/17,3295,657,669,8,30351,18
2015/6/18,3087,659,673,10,30396,54
2015/6/19,2889,1120,508,9,61782,235
2015/6/23,2623,664,543,12,36318,13
2015/6/24,2867,560,745,4,27995,32
2015/6/25,2475,518,742,12,28549,19
2015/6/26,2946,1137,866,9,74639,54
2015/6/29,5605,1329,1473,10,87985,62
2015/6/30,5256,1511,1205,3,62826,38
2015/7/1,7145,1098,1292,5,62203,23
2015/7/2,9988,1972,759,6,88523,21
2015/7/3,8497,1906,815,10,86274,30
2015/7/6,6994,1167,1041,7,82078,19
2015/7/7,6087,1380,889,5,86091,56
2015/7/8,15782,1771,828,3,102553,64
2015/7/9,10387,1087,750,6,85639,24
2015/7/10,6129,873,604,6,54945,67
