date0,close0,topic0_zscore,date1,close1,topic1_zscore,date2,close2,topic2_zscore,date3,close3,topic3_zscore,date4,close4,topic4_zscore,date5,close5,topic5_zscore
2014/12/2,3.08,-0.985747453,2014/12/2,3.08,-0.449236472,2014/12/2,3.08,-0.887754365,2014/12/2,3.08,-0.280770755,2014/12/2,3.08,-1.323946523,2014/12/4,4.34,-0.169639251
2014/12/3,0.59,-0.856810131,2014/12/3,0.59,-0.220507173,2014/12/3,0.59,-1.051722521,2014/12/5,1.32,-0.297680788,2014/12/3,0.59,-0.765094805,2014/12/5,1.32,-0.510488486
2014/12/4,4.34,0.562752236,2014/12/4,4.34,0.214078494,2014/12/4,4.34,-0.947258937,2014/12/11,-0.51,-0.297680788,2014/12/4,4.34,0.262705544,2014/12/8,2.82,-0.65656673
2014/12/5,1.32,0.044499309,2014/12/5,1.32,0.084465225,2014/12/5,1.32,-0.94461429,2014/12/12,0.42,-0.297680788,2014/12/5,1.32,0.12647685,2014/12/9,-5.35,2.459769136
2014/12/8,2.82,-0.714102803,2014/12/8,2.82,-0.140451919,2014/12/8,2.82,-1.039821606,2014/12/15,0.52,-0.289225771,2014/12/8,2.82,-0.544164841,2014/12/10,2.83,2.021534405
2014/12/9,-5.35,-0.454976339,2014/12/9,-5.35,0.332255298,2014/12/9,-5.35,-1.059656464,2014/12/18,-0.11,-0.297680788,2014/12/9,-5.35,0.699363657,2014/12/11,-0.51,0.706830212
2014/12/10,2.83,-0.40740723,2014/12/10,2.83,-0.144264074,2014/12/10,2.83,-1.062301111,2014/12/22,0.61,0.133525042,2014/12/10,2.83,-0.290649915,2014/12/12,0.42,-0.218331999
2014/12/11,-0.51,-0.605194579,2014/12/11,-0.51,-0.323435358,2014/12/11,-0.51,-0.981639357,2014/12/23,-3.03,1.148126992,2014/12/11,-0.51,-0.738693134,2014/12/15,0.52,-0.267024747
2014/12/12,0.42,-0.869328317,2014/12/12,0.42,-0.449236472,2014/12/12,0.42,-0.982961681,2014/12/24,-1.98,0.192710155,2014/12/12,0.42,-1.17368274,2014/12/16,2.31,-0.364410242
2014/12/15,0.52,-0.840536488,2014/12/15,0.52,-0.628407756,2014/12/15,0.52,-0.977672386,2014/12/25,3.36,-0.103215414,2014/12/15,0.52,-1.089472207,2014/12/17,1.31,0.804215707
2014/12/16,2.31,-0.742894632,2014/12/16,2.31,-0.597910516,2014/12/16,2.31,-0.967093795,2014/12/26,2.77,-0.230040657,2014/12/16,2.31,-0.856862693,2014/12/18,-0.11,-0.120946503
2014/12/17,1.31,-0.807989203,2014/12/17,1.31,-0.590286206,2014/12/17,1.31,-0.984284005,2014/12/29,0.33,-0.204675609,2014/12/17,1.31,-0.781190991,2014/12/19,1.67,-0.510488486
2014/12/18,-0.11,-1.42012853,2014/12/18,-0.11,-1.062993423,2014/12/18,-0.11,-0.97238309,2014/12/30,-0.07,-0.297680788,2014/12/18,-0.11,-1.240423022,2014/12/22,0.61,-0.120946503
2014/12/19,1.67,-1.273665746,2014/12/19,1.67,-0.948628774,2014/12/19,1.67,-0.986928653,2015/1/5,3.58,-0.0440303,2014/12/19,1.67,-1.367131411,2014/12/23,-3.03,0.171209985
2014/12/22,0.61,-0.935674706,2014/12/22,0.61,-0.590286206,2014/12/22,0.61,-1.038499282,2015/1/6,0.03,-0.086305381,2014/12/22,0.61,-0.174737748,2014/12/24,-1.98,-0.023561007
2014/12/23,-3.03,-0.966970173,2014/12/23,-3.03,-0.433987852,2014/12/23,-3.03,-1.054367168,2015/1/7,0.67,-0.162400527,2014/12/23,-3.03,-0.552311081,2014/12/25,3.36,-0.65656673
2014/12/24,-1.98,-0.895616509,2014/12/24,-1.98,-0.563601121,2014/12/24,-1.98,-1.054367168,2015/1/8,-2.39,-0.24695069,2014/12/24,-1.98,-0.638190121,2014/12/26,2.77,-0.169639251
2014/12/25,3.36,-0.557625469,2014/12/25,3.36,-0.643656376,2014/12/26,2.77,-0.980317033,2015/1/9,-0.24,-0.255405706,2014/12/25,3.36,-0.787177987,2014/12/29,0.33,-0.267024747
2014/12/26,2.77,0.364964887,2014/12/26,2.77,-0.167137004,2014/12/29,0.33,-1.064945759,2015/1/12,-1.71,-0.297680788,2014/12/26,2.77,-0.451808067,2014/12/30,-0.07,0.025131741
2014/12/29,0.33,-0.35983812,2014/12/29,0.33,-0.76183318,2014/12/30,-0.07,-1.064945759,2015/1/13,0.19,-0.297680788,2014/12/29,0.33,-0.737220922,2014/12/31,2.18,0.219902733
2014/12/30,-0.07,-0.245922622,2014/12/30,-0.07,-0.594098361,2014/12/31,2.18,-1.063623435,2015/1/14,-0.4,-0.255405706,2014/12/30,-0.07,-1.253378489,2015/1/5,3.58,-0.65656673
2014/12/31,2.18,-1.254888466,2014/12/31,2.18,-0.582661896,2015/1/5,3.58,-0.981639357,2015/1/15,3.54,-0.272315739,2014/12/31,2.18,-1.368112886,2015/1/6,0.03,-0.559181234
2015/1/5,3.58,-0.721613715,2015/1/5,3.58,-0.712275165,2015/1/6,0.03,-0.988250976,2015/1/16,1.2,-0.272315739,2015/1/5,3.58,-0.992502502,2015/1/7,0.67,-0.41310299
2015/1/6,0.03,0.2585603,2015/1/6,0.03,-0.780893955,2015/1/7,0.67,-0.981639357,2015/1/19,-7.7,-0.297680788,2015/1/6,0.03,-1.074357496,2015/1/8,-2.39,-0.218331999
2015/1/7,0.67,-0.814248296,2015/1/7,0.67,-0.68559008,2015/1/8,-2.39,-0.947258937,2015/1/20,1.82,-0.289225771,2015/1/7,0.67,-1.087901847,2015/1/9,-0.24,0.073824489
2015/1/8,-2.39,0.084557506,2015/1/8,-2.39,-0.697026545,2015/1/9,-0.24,-0.89304366,2015/1/21,4.74,1.300317285,2015/1/8,-2.39,-1.211076927,2015/1/12,-1.71,-0.267024747
2015/1/9,-0.24,0.307381228,2015/1/9,-0.24,-0.773269645,2015/1/12,-1.71,-0.809737258,2015/1/22,0.59,1.858348358,2015/1/9,-0.24,-1.11499055,2015/1/13,0.19,0.26859548
2015/1/12,-1.71,-0.019343443,2015/1/12,-1.71,-0.857137054,2015/1/13,0.19,-0.994862596,2015/1/23,0.25,0.987481683,2015/1/12,-1.71,-1.417775508,2015/1/14,-0.4,-0.364410242
2015/1/13,0.19,-0.011832531,2015/1/13,0.19,-0.765645335,2015/1/14,-0.4,-0.895688308,2015/1/26,0.94,0.251895269,2015/1/13,0.19,-1.573829992,2015/1/15,3.54,-0.364410242
2015/1/14,-0.4,-0.498789992,2015/1/14,-0.4,-0.632219911,2015/1/15,3.54,-0.988250976,2015/1/27,-0.89,-0.24695069,2015/1/14,-0.4,-1.500611976,2015/1/16,1.2,-0.705259478
2015/1/15,3.54,-0.777945555,2015/1/15,3.54,-0.834264124,2015/1/16,1.2,-0.986928653,2015/1/29,-1.31,-0.196220592,2015/1/15,3.54,-1.556065299,2015/1/19,-7.7,-0.072253755
2015/1/16,1.2,0.80310142,2015/1/16,1.2,-0.780893955,2015/1/19,-7.7,-0.980317033,2015/1/30,-1.59,-0.153945511,2015/1/16,1.2,-1.548704239,2015/1/20,1.82,0.463366472
2015/1/19,-7.7,0.87821054,2015/1/19,-7.7,-0.418739232,2015/1/20,1.82,-0.928746404,2015/2/2,-2.56,-0.280770755,2015/1/19,-7.7,0.26987031,2015/1/21,4.74,-0.315717495
2015/1/20,1.82,0.403771265,2015/1/20,1.82,-0.536916036,2015/1/21,4.74,-1.054367168,2015/2/3,2.45,-0.272315739,2015/1/20,1.82,-0.733785761,2015/1/22,0.59,-0.559181234
2015/1/21,4.74,0.092068418,2015/1/21,4.74,-0.555976811,2015/1/22,0.59,-1.057011816,2015/2/4,-0.96,-0.263860723,2015/1/21,4.74,-1.324731702,2015/1/23,0.25,-0.559181234
2015/1/22,0.59,-0.20085715,2015/1/22,0.59,-0.71608732,2015/1/23,0.25,-1.055689492,2015/2/5,-1.18,-0.230040657,2015/1/22,0.59,-1.629675905,2015/1/26,0.94,-0.218331999
2015/1/23,0.25,0.054513858,2015/1/23,0.25,-0.643656376,2015/1/28,-1.41,-1.063623435,2015/2/6,-1.93,-0.153945511,2015/1/23,0.25,-1.571376305,2015/1/27,-0.89,0.025131741
2015/1/26,0.94,-0.432443603,2015/1/26,0.94,-0.674153615,2015/1/29,-1.31,-1.063623435,2015/2/9,0.62,-0.24695069,2015/1/26,0.94,-1.660984949,2015/1/28,-1.41,0.073824489
2015/1/27,-0.89,0.182199362,2015/1/27,-0.89,-0.544540346,2015/2/2,-2.56,-1.060978788,2015/2/10,1.5,0.133525042,2015/1/27,-0.89,-1.562935622,2015/1/29,-1.31,-0.364410242
2015/1/28,-1.41,0.475124929,2015/1/28,-1.41,-0.453048627,2015/2/3,2.45,-1.063623435,2015/2/11,0.51,0.843746407,2015/1/28,-1.41,-1.470284407,2015/1/30,-1.59,-0.607873982
2015/1/29,-1.31,0.869447809,2015/1/29,-1.31,-0.437800007,2015/2/6,-1.93,-0.984284005,2015/2/12,0.5,0.759196245,2015/1/29,-1.31,-1.446041981,2015/2/2,-2.56,5.186563019
2015/1/30,-1.59,1.151107009,2015/1/30,-1.59,0.156896169,2015/2/9,0.62,-0.984284005,2015/2/13,0.96,0.801471326,2015/1/30,-1.59,-1.318842854,2015/2/3,2.45,5.381334011
2015/2/2,-2.56,0.724236844,2015/2/2,-2.56,-0.571225431,2015/2/10,1.5,-0.922134784,2015/2/16,0.58,0.962116635,2015/2/2,-2.56,-1.303728143,2015/2/4,-0.96,5.186563019
2015/2/3,2.45,0.546478593,2015/2/3,2.45,-0.632219911,2015/2/11,0.51,-0.9618045,2015/2/17,0.76,1.021301748,2015/2/3,2.45,-1.459782627,2015/2/5,-1.18,4.164015313
2015/2/4,-0.96,0.550234049,2015/2/4,-0.96,-0.765645335,2015/2/12,0.5,-0.852051621,2015/2/25,-0.56,0.759196245,2015/2/4,-0.96,-1.119603482,2015/2/6,-1.93,0.26859548
2015/2/5,-1.18,0.035736578,2015/2/5,-1.18,-0.620783446,2015/2/13,0.96,-0.981639357,2015/2/26,2.15,0.725376179,2015/2/5,-1.18,-1.076614888,2015/2/9,0.62,-0.607873982
2015/2/6,-1.93,-0.328542654,2015/2/6,-1.93,-0.388241992,2015/2/25,-0.56,-1.064945759,2015/2/27,0.36,-0.0440303,2015/2/6,-1.93,-1.407371876,2015/2/10,1.5,-0.753952226
2015/2/9,0.62,0.888225089,2015/2/9,0.62,-0.174761314,2015/2/26,2.15,-0.918167813,2015/3/2,0.78,-0.213130625,2015/2/9,0.62,-1.375866537,2015/2/11,0.51,-0.753952226
