Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2014/12/2,-0.482,3.6047,-0.5616,3.08,437700,4337,4258,2271,1745,622
2014/12/3,0.194,2.2025,-1.0657,0.59,562100,4625,4916,2911,1891,842
2014/12/4,0.1343,4.3447,-0.2628,4.34,532700,7220,7580,4133,2687,1373
2014/12/5,0.9037,2.6778,-3.0103,1.32,640500,7233,6898,3809,2729,1209
2014/12/8,-1.0537,3.5006,-2.0054,2.82,587600,5999,5533,3460,2170,1072
2014/12/9,-0.9609,2.3101,-6.1867,-5.35,772000,8417,7875,4832,3352,1626
2014/12/10,-0.1391,3.0346,-1.8267,2.83,512900,6190,5833,3870,3123,1054
2014/12/11,-0.9702,0.8432,-1.6412,-0.51,482600,5289,4587,3125,3232,914
2014/12/12,0.1236,1.2567,-0.3687,0.42,409500,4615,3785,2456,2711,678
2014/12/15,-0.5693,0.7506,-1.6088,0.52,400400,4328,3648,2397,3526,711
2014/12/16,0.0132,2.3185,-0.322,2.31,453800,5096,4416,2798,3482,802
2014/12/17,0.3453,1.823,-0.9328,1.31,542500,5012,4407,3114,3590,817
2014/12/18,0.0582,0.9399,-1.003,-0.11,435900,3890,3269,2175,4244,530
2014/12/19,-0.1454,1.9626,-1.2788,1.67,521100,3500,3020,2060,4183,557
2014/12/22,0.665,2.6144,-0.5818,0.61,679400,5714,4923,3019,3600,837
2014/12/23,-1.3546,0.3003,-3.2544,-3.03,437800,4915,4339,2615,3698,718
2014/12/24,0.2174,0.5901,-3.2217,-1.98,376800,4998,4555,2795,3880,766
2014/12/25,0.6705,3.3915,-0.0894,3.36,376900,4172,3816,2320,2732,670
2014/12/26,0.178,2.9819,-0.2721,2.77,460700,4839,4585,2757,3622,810
2014/12/29,1.7404,2.0983,-0.971,0.33,510100,4615,4762,2983,2753,771
2014/12/30,-0.2277,0.7034,-1.1889,-0.07,397700,4520,3941,2500,2575,635
2014/12/31,0.2142,2.323,-0.2703,2.18,406000,3884,3616,2454,2437,581
2015/1/5,0.7404,4.1613,0.5938,3.58,531400,4800,3939,2493,3038,779
2015/1/6,-0.5886,1.3044,-1.4128,0.03,501700,4389,3796,2509,3292,749
2015/1/7,-0.7399,0.6997,-1.1707,0.67,391900,4111,3598,2624,2987,736
2015/1/8,-0.0592,0.2256,-2.6337,-2.39,371100,3904,3606,2385,3013,725
2015/1/9,-0.5007,3.3818,-0.7878,-0.24,410200,4360,3937,2490,3028,753
2015/1/12,-0.8279,-0.3113,-2.856,-1.71,322100,4016,3954,2321,2152,665
2015/1/13,-0.1788,0.9312,-0.4615,0.19,230700,3840,3385,2244,2147,602
2015/1/14,0.2175,1.0256,-1.2773,-0.4,240200,3708,3458,2135,2462,621
2015/1/15,0.0507,3.5578,-0.4621,3.54,282500,3620,3237,2248,2070,635
2015/1/16,0.2142,1.9141,0.1209,1.2,339900,3746,3540,2298,2345,650
2015/1/19,-5.5314,-3.3848,-8.335,-7.7,401100,7306,7177,4437,2996,1472
2015/1/20,-0.0575,2.3712,-0.5094,1.82,357100,5316,4896,3274,2979,997
2015/1/21,0.5053,5.167,0.1667,4.74,411000,4472,3896,2597,2192,776
2015/1/22,0.1116,0.8657,-0.8916,0.59,353400,3829,3135,2103,2176,629
2015/1/23,0.4113,1.8976,-0.4502,0.25,366200,3655,3283,2189,2337,612
2015/1/26,-0.1345,0.9856,-0.9084,0.94,317500,3366,2974,2176,1924,609
2015/1/27,0.1972,0.2079,-2.7478,-0.89,374500,3891,3485,2153,1846,631
2015/1/28,-0.8124,0.0549,-1.7389,-1.41,301900,4165,3481,2399,1988,665
2015/1/29,-1.4139,-0.5733,-2.1628,-1.31,274700,4133,3396,2372,2402,727
2015/1/30,0.3507,0.8031,-1.5939,-1.59,258300,4601,3582,2430,2972,713
