date,f_disgust,m_disgust
2014/12/1,1076,2336
2014/12/2,1017,3042
2014/12/3,1315,3318
2014/12/4,2213,5067
2014/12/5,2260,5178
2014/12/6,831,1851
2014/12/7,486,1570
2014/12/8,1546,3838
2014/12/9,2257,4596
2014/12/10,1530,3422
2014/12/11,1754,3351
2014/12/12,1615,2879
2014/12/13,454,863
2014/12/14,421,1300
2014/12/15,1159,3289
2014/12/16,1305,3310
2014/12/17,1513,3451
2014/12/18,1474,3079
2014/12/19,1167,2543
2014/12/20,448,1582
2014/12/21,450,1508
2014/12/22,1385,3948
2014/12/23,1356,3458
2014/12/24,1607,3284
2014/12/25,1073,3253
2014/12/26,1387,3630
2014/12/27,655,1746
2014/12/28,486,1723
2014/12/29,1386,4002
2014/12/30,1245,3716
2014/12/31,1148,3331
2015/1/1,455,1252
2015/1/2,346,1188
2015/1/3,486,1448
2015/1/4,564,1714
2015/1/5,1258,3994
2015/1/6,1187,3210
2015/1/7,1070,3063
2015/1/8,1160,3260
2015/1/9,1029,3508
2015/1/10,474,2403
2015/1/11,346,1531
2015/1/12,905,2593
2015/1/13,870,2412
2015/1/14,938,2468
2015/1/15,897,2310
2015/1/16,1034,2778
2015/1/17,660,1722
2015/1/18,345,1124
2015/1/19,1067,3129
2015/1/20,1068,3165
2015/1/21,879,2991
2015/1/22,927,2653
2015/1/23,906,2331
2015/1/24,370,1061
2015/1/25,300,936
2015/1/26,974,1991
2015/1/27,926,2183
2015/1/28,870,2299
2015/1/29,1180,2518
2015/1/30,1380,2627
2015/1/31,864,1559
2015/2/1,431,1194
2015/2/2,1296,2846
2015/2/3,1709,2914
2015/2/4,1417,3301
2015/2/5,1732,2957
2015/2/6,1407,2146
2015/2/7,741,1158
2015/2/8,686,1271
2015/2/9,1173,2355
2015/2/10,1003,3146
2015/2/11,1036,2236
2015/2/12,996,2650
2015/2/13,1087,2389
2015/2/14,720,1394
2015/2/15,632,1241
2015/2/16,813,1697
2015/2/17,672,1503
2015/2/18,563,809
2015/2/19,484,631
2015/2/20,472,724
2015/2/21,451,624
2015/2/22,466,708
2015/2/23,532,693
2015/2/24,700,992
2015/2/25,812,1825
2015/2/26,1021,2431
2015/2/27,1244,2602
2015/2/28,949,2207
2015/3/1,858,1960
2015/3/2,1573,3096
2015/3/3,1337,3400
2015/3/4,1338,3403
2015/3/5,991,3629
2015/3/6,1558,3731
2015/3/7,2885,5033
2015/3/8,1334,2246
2015/3/9,1241,3536
2015/3/10,1399,3750
2015/3/11,1608,3679
2015/3/12,1683,3138
2015/3/13,1703,3067
2015/3/14,1247,1643
2015/3/15,794,1579
2015/3/16,1651,3105
2015/3/17,2124,3992
2015/3/18,2146,4072
2015/3/19,2479,4247
2015/3/20,2189,3955
2015/3/21,1504,2014
2015/3/22,936,1509
2015/3/23,1461,3864
2015/3/24,2022,4086
2015/3/25,2008,4632
2015/3/26,1619,4083
2015/3/27,1718,3623
2015/3/28,1343,2181
2015/3/29,854,2135
2015/3/30,1877,4434
2015/3/31,2007,4449
2015/4/1,2037,4506
2015/4/2,1460,4874
2015/4/3,1140,4361
2015/4/4,480,1736
2015/4/5,388,1491
2015/4/6,531,1976
2015/4/7,1015,3375
2015/4/8,994,3446
2015/4/9,997,3312
2015/4/10,699,2619
2015/4/11,703,1687
2015/4/12,719,2537
2015/4/13,1568,4606
2015/4/14,1457,3734
2015/4/15,1517,3023
2015/4/16,1237,3016
2015/4/17,1231,3265
2015/4/18,730,2772
2015/4/19,819,2390
2015/4/20,1331,3714
2015/4/21,1106,3826
2015/4/22,1387,3935
2015/4/23,1305,4002
2015/4/24,1146,3996
2015/4/25,841,2281
2015/4/26,596,1809
2015/4/27,980,4219
2015/4/28,1180,3994
2015/4/29,1313,3952
2015/4/30,1440,4127
2015/5/1,1106,1810
2015/5/2,1174,1625
2015/5/3,617,1625
2015/5/4,1154,3641
2015/5/5,1243,4292
2015/5/6,1300,4186
2015/5/7,1268,3810
2015/5/8,1219,3791
2015/5/9,677,2093
2015/5/10,573,1967
2015/5/11,1234,3951
2015/5/12,3851,8404
2015/5/13,3364,6959
2015/5/14,1923,4747
2015/5/15,1217,3938
2015/5/16,647,2223
2015/5/17,640,1686
2015/5/18,1042,3207
2015/5/19,1097,4145
2015/5/20,1190,4019
2015/5/21,1268,3819
2015/5/22,1269,3881
2015/5/23,630,2181
2015/5/24,634,2049
2015/5/25,1196,4211
2015/5/26,1329,4845
2015/5/27,1651,5234
2015/5/28,2480,5769
2015/5/29,2023,4334
2015/5/30,891,2709
2015/5/31,647,1621
2015/6/1,1126,3075
2015/6/2,1353,3844
2015/6/3,1243,3197
2015/6/4,1604,3850
2015/6/5,1517,3639
2015/6/6,902,1790
2015/6/7,688,1573
2015/6/8,1311,3348
2015/6/9,1488,3709
2015/6/10,1631,4291
2015/6/11,1356,3782
2015/6/12,1672,3523
2015/6/13,941,2422
2015/6/14,875,2297
2015/6/15,1524,3634
2015/6/16,1672,3997
2015/6/17,1483,3490
2015/6/18,1487,3747
2015/6/19,2254,4484
2015/6/20,938,2183
2015/6/21,590,1500
2015/6/22,845,1732
2015/6/23,1652,3618
2015/6/24,1308,3418
2015/6/25,1704,4052
2015/6/26,2905,5796
2015/6/27,2042,4299
2015/6/28,1184,2834
2015/6/29,3607,6894
2015/6/30,2388,5769
2015/7/1,2846,6384
2015/7/2,2890,7801
2015/7/3,2915,7061
2015/7/4,2151,7423
2015/7/5,1657,4965
2015/7/6,3375,7620
2015/7/7,2963,7705
2015/7/8,4261,11199
2015/7/9,4130,9035
2015/7/10,2340,6083
2015/7/11,1159,2492
2015/7/12,793,2306
2015/7/13,1325,4178
2015/7/14,971,2939
2015/7/15,1017,2860
2015/7/16,1363,3226
2015/7/17,918,2463
2015/7/18,827,1408
2015/7/19,459,1061
2015/7/20,708,2520
2015/7/21,870,2660
2015/7/22,1071,2941
2015/7/23,1028,2608
2015/7/24,876,2221
2015/7/25,422,1202
2015/7/26,570,1135
2015/7/27,1262,2673
2015/7/28,1001,3199
2015/7/29,1105,2909
2015/7/30,1038,2740
2015/7/31,984,2760
2015/8/1,507,1514
2015/8/2,545,1461
2015/8/3,923,2853
2015/8/4,1065,3126
2015/8/5,1351,3827
2015/8/6,1478,4169
2015/8/7,1643,4610
2015/8/8,928,2204
2015/8/9,812,2161
2015/8/10,2110,4406
2015/8/11,1869,4598
2015/8/12,1601,4091
2015/8/13,1067,3521
2015/8/14,1382,3493
2015/8/15,1030,1775
2015/8/16,650,1345
2015/8/17,1588,3088
2015/8/18,1779,3828
2015/8/19,1754,3839
2015/8/20,1233,3780
2015/8/21,1259,3219
2015/8/22,1424,3901
2015/8/23,644,1727
2015/8/24,1610,3413
2015/8/25,2181,4964
2015/8/26,1801,4323
2015/8/27,1441,4092
2015/8/28,1426,3666
2015/8/29,615,2244
2015/8/30,531,1716
2015/8/31,1362,4392
2015/9/1,1288,3607
2015/9/2,970,3190
2015/9/3,519,1376
2015/9/4,419,1562
2015/9/5,423,1403
2015/9/6,761,1968
2015/9/7,845,2893
2015/9/8,1135,3372
