Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2014/12/2,3.08,5135,16597,1017,3042,5157,14102,2473,"(1.4, 4.2]"
2014/12/3,0.59,6048,21414,1315,3318,5988,18428,3046,"(0.0, 1.4]"
2014/12/4,4.34,9760,29514,2213,5067,8654,26302,4318,"(4.2, 10.0]"
2014/12/5,1.32,8849,28585,2260,5178,8321,25011,4102,"(0.0, 1.4]"
2014/12/8,2.82,7402,22458,1546,3838,7285,18940,3635,"(1.4, 4.2]"
2014/12/9,-5.35,11926,30984,2257,4596,9958,28180,4772,"(-10.0, -4.2]"
2014/12/10,2.83,8431,24294,1530,3422,8002,20552,4171,"(1.4, 4.2]"
2014/12/11,-0.51,7683,20307,1754,3351,6723,18070,3197,"(-1.4, 0.0]"
2014/12/12,0.42,6054,17240,1615,2879,5521,15072,2701,"(0.0, 1.4]"
2014/12/15,0.52,6092,18040,1159,3289,5589,15810,2733,"(0.0, 1.4]"
2014/12/16,2.31,6880,19712,1305,3310,5978,17542,3072,"(1.4, 4.2]"
2014/12/17,1.31,7322,20002,1513,3451,6128,18003,3193,"(0.0, 1.4]"
2014/12/18,-0.11,6245,15778,1474,3079,4270,14924,2829,"(-1.4, 0.0]"
2014/12/19,1.67,5224,15635,1167,2543,3851,14187,2821,"(1.4, 4.2]"
2014/12/22,0.61,6511,26882,1385,3948,6676,23496,3221,"(0.0, 1.4]"
2014/12/23,-3.03,6354,23322,1356,3458,6195,20614,2867,"(-4.2, -1.4]"
2014/12/24,-1.98,6494,22213,1607,3284,7064,18831,2812,"(-4.2, -1.4]"
2014/12/25,3.36,5619,21762,1073,3253,6583,18217,2581,"(1.4, 4.2]"
2014/12/26,2.77,6821,24899,1387,3630,8676,20179,2865,"(1.4, 4.2]"
2014/12/29,0.33,6356,21658,1386,4002,6766,18325,2923,"(0.0, 1.4]"
2014/12/30,-0.07,5722,17163,1245,3716,5777,14220,2888,"(-1.4, 0.0]"
2014/12/31,2.18,5250,15667,1148,3331,4949,13325,2643,"(1.4, 4.2]"
2015/1/5,3.58,6030,19181,1258,3994,6635,15879,2697,"(1.4, 4.2]"
2015/1/6,0.03,6464,18670,1187,3210,6175,16279,2680,"(0.0, 1.4]"
2015/1/7,0.67,5938,18225,1070,3063,5639,15864,2660,"(0.0, 1.4]"
2015/1/8,-2.39,6293,17350,1160,3260,6011,15100,2532,"(-4.2, -1.4]"
2015/1/9,-0.24,5428,19398,1029,3508,5286,16611,2929,"(-1.4, 0.0]"
