date,fol1,fol2,fol3
2014/12/1,4727,11523,2106
2014/12/2,5157,14102,2473
2014/12/3,5988,18428,3046
2014/12/4,8654,26302,4318
2014/12/5,8321,25011,4102
2014/12/6,4203,11469,1507
2014/12/7,3763,9595,1265
2014/12/8,7285,18940,3635
2014/12/9,9958,28180,4772
2014/12/10,8002,20552,4171
2014/12/11,6723,18070,3197
2014/12/12,5521,15072,2701
2014/12/13,2125,6871,890
2014/12/14,2818,7682,970
2014/12/15,5589,15810,2733
2014/12/16,5978,17542,3072
2014/12/17,6128,18003,3193
2014/12/18,4270,14924,2829
2014/12/19,3851,14187,2821
2014/12/20,3175,12782,1069
2014/12/21,2711,11919,971
2014/12/22,6676,23496,3221
2014/12/23,6195,20614,2867
2014/12/24,7064,18831,2812
2014/12/25,6583,18217,2581
2014/12/26,8676,20179,2865
2014/12/27,4556,10508,1035
2014/12/28,4230,10814,1191
2014/12/29,6766,18325,2923
2014/12/30,5777,14220,2888
2014/12/31,4949,13325,2643
2015/1/1,3423,6491,740
2015/1/2,3462,6013,722
2015/1/3,3448,6615,716
2015/1/4,3882,8397,1215
2015/1/5,6635,15879,2697
2015/1/6,6175,16279,2680
2015/1/7,5639,15864,2660
2015/1/8,6011,15100,2532
2015/1/9,5286,16611,2929
2015/1/10,3703,9940,1078
2015/1/11,3495,7701,922
2015/1/12,5568,12992,2949
2015/1/13,5019,12299,2502
2015/1/14,5008,12775,2496
2015/1/15,4946,12086,2334
2015/1/16,4882,13269,2561
2015/1/17,3800,9071,1125
2015/1/18,3058,6978,1110
2015/1/19,9213,25661,4537
2015/1/20,7247,18036,3543
2015/1/21,5477,14161,2990
2015/1/22,4850,12055,2399
2015/1/23,5205,12337,2477
2015/1/24,3345,5773,856
2015/1/25,3177,5438,798
2015/1/26,5122,11130,2366
2015/1/27,6093,11415,2583
2015/1/28,6328,12352,2609
2015/1/29,6450,13175,2234
2015/1/30,6457,14561,2516
2015/1/31,3815,8291,949
2015/2/1,3682,6169,829
2015/2/2,6371,14392,2501
2015/2/3,5634,13432,2453
2015/2/4,6677,15615,2656
2015/2/5,6848,15497,2651
2015/2/6,5564,13573,2250
2015/2/7,4795,7010,670
2015/2/8,4956,6932,639
2015/2/9,6828,13345,2534
2015/2/10,6350,12656,2227
2015/2/11,5896,10444,1792
2015/2/12,5760,10131,1754
