Date,open,high,low,close,volume,Network diameter,The average shortest path length of the network,The average clustering coefficient of the network,The average degree centrality of the network,Number of network nodes,number_of_nodes_for_largest_subgraph,The average degree of the network,bins,pagerank,ci_max,ci_global,retweeted,su,original
2014/12/2,-0.482,3.6047,-0.5616,3.08,437700,17,7.113971109,0.002587671,0.001717739,2709,1269,1.80952381,"(1.4, 4.2]",0.030927465,15225,64672,2808,21732,18924
2014/12/3,0.194,2.2025,-1.0657,0.59,562100,2,1.994962217,0,0.005050505,3517,397,1.839067387,"(0.0, 1.4]",0.460110512,20002,90681,3782,27462,23680
2014/12/4,0.1343,4.3447,-0.2628,4.34,532700,17,5.356455838,0.005364768,0.000493112,6806,4483,1.988833382,"(4.2, 10.0]",0.038969711,1040588,3545908,7932,39274,31342
2014/12/5,0.9037,2.6778,-3.0103,1.32,640500,16,5.836186974,0.00491893,0.000616478,5870,3578,1.933219761,"(0.0, 1.4]",0.024524542,336622,1333848,6567,37434,30867
2014/12/8,-1.0537,3.5006,-2.0054,2.82,587600,19,6.281436652,0.00296207,0.000963667,4185,2310,1.889127838,"(1.4, 4.2]",0.026344728,89760,387569,4630,29860,25230
2014/12/9,-0.9609,2.3101,-6.1867,-5.35,772000,19,6.124146126,0.002881945,0.000511922,7074,4271,1.916878711,"(-10.0, -4.2]",0.037887889,601976,1750315,7887,42910,35023
2014/12/10,-0.1391,3.0346,-1.8267,2.83,512900,18,7.150180647,0.002609333,0.001037099,4584,2064,1.784904014,"(1.4, 4.2]",0.021474075,45144,187418,4862,32725,27863
2014/12/11,-0.9702,0.8432,-1.6412,-0.51,482600,1,1,0,1,3399,2,1.780523683,"(-1.4, 0.0]",0.5,59800,126825,3554,27990,24436
2014/12/12,0.1236,1.2567,-0.3687,0.42,409500,18,7.151259095,0.003887727,0.002377605,2628,901,1.741248097,"(0.0, 1.4]",0.022069054,11685,34998,2662,23294,20632
2014/12/15,-0.5693,0.7506,-1.6088,0.52,400400,2,1.666666667,0,0.333333333,2598,6,1.760585065,"(0.0, 1.4]",0.472971649,23310,59812,3074,24132,21058
2014/12/16,0.0132,2.3185,-0.322,2.31,453800,0,0,0,1,3079,1,1.83176356,"(1.4, 4.2]",1,58320,147944,3647,26592,22945
2014/12/17,0.3453,1.823,-0.9328,1.31,542500,18,7.332268066,0.002795734,0.001265006,3319,1725,1.847544441,"(0.0, 1.4]",0.035667485,36064,138112,3808,27324,23516
2014/12/18,0.0582,0.9399,-1.003,-0.11,435900,19,7.34055911,0.001013448,0.001713354,2938,1272,1.82573179,"(-1.4, 0.0]",0.025092822,16008,71526,3367,22023,18656
2014/12/19,-0.1454,1.9626,-1.2788,1.67,521100,15,5.838837889,0.001717681,0.001990512,2675,1114,1.825046729,"(1.4, 4.2]",0.04331804,44965,123756,3083,20859,17776
2014/12/22,0.665,2.6144,-0.5818,0.61,679400,1,1,0,1,3572,2,1.896416573,"(0.0, 1.4]",0.5,76970,167360,4140,33393,29253
2014/12/23,-1.3546,0.3003,-3.2544,-3.03,437800,0,0,0,1,3674,1,1.794774088,"(-4.2, -1.4]",1,20586,52328,4051,29676,25625
2014/12/24,0.2174,0.5901,-3.2217,-1.98,376800,18,6.91042618,0.00340189,0.001344361,3439,1588,1.836580401,"(-4.2, -1.4]",0.055545086,49868,142272,3827,28707,24880
2014/12/25,0.6705,3.3915,-0.0894,3.36,376900,18,6.779495079,0.000505996,0.003076714,2428,687,1.719110379,"(1.4, 4.2]",0.038601046,14446,27883,2649,27381,24732
2014/12/26,0.178,2.9819,-0.2721,2.77,460700,20,7.574867614,0.005439215,0.002411312,2470,897,1.778137652,"(1.4, 4.2]",0.033736112,22134,45693,2856,31720,28864
2014/12/29,1.7404,2.0983,-0.971,0.33,510100,2,1.6,0,0.4,3716,5,1.828848224,"(0.0, 1.4]",0.475676689,75900,115261,3817,28014,24197
2014/12/30,-0.2277,0.7034,-1.1889,-0.07,397700,1,1,0,1,2799,2,1.74776706,"(-1.4, 0.0]",0.5,17952,50179,2797,22885,20088
2014/12/31,0.2142,2.323,-0.2703,2.18,406000,27,9.169810477,0.003218925,0.003248963,2380,635,1.713445378,"(1.4, 4.2]",0.053540044,5400,14610,2357,20917,18560
2015/1/5,0.7404,4.1613,0.5938,3.58,531400,2,1.6,0,0.4,2786,5,1.787508973,"(1.4, 4.2]",0.475676689,17873,51148,2885,25211,22326
2015/1/6,-0.5886,1.3044,-1.4128,0.03,501700,10,4.572344322,0.006522964,0.012045647,2513,169,1.693593315,"(0.0, 1.4]",0.174049777,2183,6646,2412,25134,22722
2015/1/7,-0.7399,0.6997,-1.1707,0.67,391900,1,1,0,1,2394,2,1.729323308,"(0.0, 1.4]",0.5,4104,19187,2514,24163,21649
2015/1/8,-0.0592,0.2256,-2.6337,-2.39,371100,2,1.666666667,0,0.333333333,2839,6,1.775272983,"(-4.2, -1.4]",0.472971649,19982,43011,2877,23643,20766
2015/1/9,-0.5007,3.3818,-0.7878,-0.24,410200,18,6.772799236,0.002151079,0.001725229,2792,1245,1.8252149,"(-1.4, 0.0]",0.034688301,37888,85297,2938,24826,21888
2015/1/12,-0.8279,-0.3113,-2.856,-1.71,322100,1,1,0,1,2138,2,1.695042095,"(-4.2, -1.4]",0.5,3468,14589,2125,21509,19384
2015/1/13,-0.1788,0.9312,-0.4615,0.19,230700,21,7.491312071,0.005103611,0.002717278,2142,791,1.735760971,"(0.0, 1.4]",0.036719222,13860,39672,2243,19820,17577
2015/1/14,0.2175,1.0256,-1.2773,-0.4,240200,20,6.659543136,0,0.003393613,2109,627,1.707918445,"(-1.4, 0.0]",0.069051305,10486,23163,2103,20279,18176
2015/1/15,0.0507,3.5578,-0.4621,3.54,282500,2,1.333333333,0,0.666666667,2092,3,1.702676864,"(1.4, 4.2]",0.486485824,9492,20149,2081,19366,17285
2015/1/16,0.2142,1.9141,0.1209,1.2,339900,16,5.432503928,0.00705445,0.001673582,2593,1334,1.875048207,"(0.0, 1.4]",0.044228165,89739,251067,2867,20712,17845
2015/1/19,-5.5314,-3.3848,-8.335,-7.7,401100,2,1.866666667,0,0.142857143,6732,15,1.962566845,"(-10.0, -4.2]",0.47955698,1148199,2449349,7591,39411,31820
2015/1/20,-0.0575,2.3712,-0.5094,1.82,357100,0,0,0,1,4150,1,1.838072289,"(1.4, 4.2]",1,87761,222436,4493,28826,24333
2015/1/21,0.5053,5.167,0.1667,4.74,411000,19,6.808097914,0.001473749,0.001876053,3040,1147,1.749342105,"(4.2, 10.0]",0.031094966,26322,97426,3429,22628,19199
